회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
화승인더스트리,006060,플라스틱제품 제조업,"포장용 합성수지 제조/신발,필름 판매/부동산 임대",2/4/1991,12월,대표이사 현석호,http://www.hsi.co.kr,부산광역시
극동유화,014530,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",1/31/1991,12월,"장홍선, 장선우 (각자대표)",http://www.kdoc.co.kr,경상남도
고려산업,002140,"곡물가공품, 전분 및 전분제품 제조업","배합사료,플라스틱용기 제조/부동산 임대",1/14/1991,12월,"전장열, 김영교(각자 대표이사)",http://www.hafeed.co.kr,부산광역시
피에스텍,002230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",자동차부품,1/4/1991,12월,황재용,http://www.pstec.co.kr,서울특별시
대현,016090,봉제의복 제조업,"여성의류 및 악세사리류 제조,도매,유통(백화점)",9/20/1990,12월,신현균,http://www.daehyun.co.kr,서울특별시
케이비아이동국실업,001620,자동차 신품 부품 제조업,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대",9/15/1990,12월,김진산,http://www.dongkook-ind.co.kr,서울특별시
광명전기,017040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역",9/14/1990,12월,"이재광,조광식",http://www.kmec.co.kr,경기도
부산산업,011390,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘 제조,판매",9/14/1990,12월,정영교,http://www.busanind.co.kr,부산광역시
STX,011810,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매",9/12/1990,12월,박상준,http://www.stx.co.kr,경상남도
고려아연,010130,1차 비철금속 제조업,"연,아연괴 제조,판매",7/28/1990,12월,"최윤범, 노진수, 백순흠",http://www.koreazinc.co.kr,서울특별시
코센,009730,1차 철강 제조업,"스테인리스파이프, 선박용배관제작",7/27/1990,12월,김택환,http://www.kossen.co.kr,전라북도
센트럴인사이트,012600,일반 목적용 기계 제조업,"금융단말기(현금자동입출금기,온라인단말기),통신기기 제조,판매",7/10/1990,12월,김유영,http://www.chunghocomnet.com,서울특별시
팜젠사이언스,004720,의약품 제조업,의약품 외,6/15/1990,12월,김혜연 박희덕(각자),http://www.pharmgenscience.com,경기도
무림페이퍼,009200,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",6/9/1990,12월,이도균,http://www.moorim.co.kr,경상남도
현대차증권,001500,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",6/9/1990,12월,최병철,http://hmsec.com,서울특별시
금비,008870,유리 및 유리제품 제조업,"유리제품(주류병) 제조/화장품 도소매,수입(병제조기기)",6/8/1990,09월,고기영,http://www.e-kumbi.co.kr,경기도
대동전자,008110,통신 및 방송 장비 제조업,"통신음향,전자기계기구용 플라스틱제품 제조,도매",6/5/1990,03월,김명성,http://www.daidong.com,서울특별시
원림,005820,직물직조 및 직물제품 제조업,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자",4/20/1990,12월,신성엽,http://www.wonlim.co.kr,서울특별시
서흥,008490,기타 화학제품 제조업,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매",3/27/1990,12월,양주환,http://www.suheung.com,충청북도
성문전자,014910,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",3/24/1990,12월,신준섭,http://www.smec-korea.co.kr,경기도
넥스트사이언스,003580,기타 비금속광물 광업,"무연탄채굴,원유,유전개발,가스전 개발/부동산 임대",3/23/1990,12월,김종원,http://nextscience.co.kr/,강원도
일진홀딩스,015860,기타 금융업,"전기산업용기기(개폐기,차단기,배전반),자동화시스템,자동차엔진부품,절연전선,금구류,고압선,저압선 제조,판매/전기공사,가스절연차단기",3/22/1990,12월,허정석,http://www.iljin.co.kr,경기도
대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조",3/6/1990,12월,"김민배,강병은(각자 대표이사)",http://www.dypc.co.kr,경기도
영화금속,012280,자동차 신품 부품 제조업,"자동차부품,건축자재(관이음쇠) 제조,판매",1/25/1990,12월,최동윤(단독 대표이사),http://www.yeonghwa.co.kr,경상남도
신풍제약,019170,의약품 제조업,"의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매",1/20/1990,12월,유 제 만,http://www.shinpoong.co.kr,경기도
동성제약,002210,의약품 제조업,"의약품,화장품 제조,도매",1/19/1990,12월,이양구,http://dongsung-pharm.co.kr,서울특별시
카스,016920,기계장비 및 관련 물품 도매업,"전자저울,로드셀",1/4/1990,12월,김태인,http://www.cas.co.kr,경기도
아센디오,012170,"영화, 비디오물, 방송프로그램 제작 및 배급업",석탄(점결탄) 판매,12/20/1989,12월,"신동철, 강재현",http://ascendio.co.kr,서울특별시
한올바이오파마,009420,의약품 제조업,"의약품 제조,도매/부동산 임대",12/18/1989,12월,"박승국,정승원(공동대표이사)",http://www.hanall.co.kr,대전광역시
하이록코리아,013030,1차 철강 제조업,관이음쇠,12/15/1989,12월,"문휴건, 문창환 각자대표이사",http://www.hy-lok.com,부산광역시
유니켐,011330,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대",12/14/1989,12월,이장원,http://www.uni-chem.net,경기도
대창,012800,1차 비철금속 제조업,"황동봉,동합금괴 제조,판매",12/5/1989,12월,"조시영, 김옥렬",http://www.brassone.com,경기도
국보,001140,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",12/2/1989,12월,"하 현, 조경민 각자대표",http://www.kukbo.com,부산광역시
일성건설,013360,토목 건설업,"건축공사,토목공사,전기공사",12/2/1989,12월,유필상,http://www.ilsungconst.co.kr,인천광역시
까뮤이앤씨,013700,건물 건설업,"토목공사,건축공사/부동산 임대",11/30/1989,12월,"손병재, 이은규 (각자 대표이사)",http://www.camusenc.com,경기도
보락,002760,기타 화학제품 제조업,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매",11/30/1989,12월,정기련,http://www.bolak.co.kr,경기도
선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사",11/30/1989,12월,"전동준, 남삼우(각자 대표이사)",http://www.seondo.co.kr,경기도
씨아이테크,004920,그외 기타 제품 제조업,"컴퓨터 소프트웨어,하드웨어 서버,도매",11/30/1989,12월,김대영,http://www.citech.kr,서울특별시
광동제약,009290,의약품 제조업,"의약품,식음료 제조,도매",11/17/1989,12월,최성원,http://www.ekdp.com,서울특별시
갤럭시아에스엠,011420,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",11/14/1989,12월,이반석,http://galaxiasme.com,서울특별시
남성,004270,기타 전문 도매업,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대",11/14/1989,12월,윤봉수 윤성호,http://www.namsung.com,서울특별시
KISCO홀딩스,001940,1차 철강 제조업,지주사업,11/13/1989,12월,"장세홍, 이병제 (각자대표)",http://www.kiscoholdings.co.kr,경상남도
태영건설,009410,토목 건설업,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",11/13/1989,12월,이재규,http://www.taeyoung.com,경기도
한국특강,007280,1차 철강 제조업,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",11/13/1989,12월,"한길구, 박성우",http://www.ekosco.com,경상남도
한솔로지스틱스,009180,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점",11/13/1989,12월,황규호,http://www.hansollogistics.com,서울특별시
삼양통상,002170,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",11/10/1989,12월,허남각,http://www.samyangts.com,서울특별시
SK텔레콤,017670,전기 통신업,"이동전화,무선호출서비스,부가통신",11/7/1989,12월,유영상,http://www.sktelecom.com,서울특별시
진양폴리우레탄,010640,플라스틱제품 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매",9/30/1989,12월,"김상용,조영태(각자대표이사)",http://www.chinyangpoly.kr,경기도
미창석유공업,003650,석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",9/27/1989,12월,유재순,http://www.michang.co.kr,부산광역시
삼익THK,004380,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",9/26/1989,12월,"진영환, 전영배",http://www.samickthk.co.kr,대구광역시
미원상사,002840,기타 화학제품 제조업,"계면활성제,분황,황산,도료첨가제,프라스틱첨가제 제조",9/25/1989,12월,"홍창식, 손응주",http://www.mwc.co.kr,경기도
